Index,d,phi,temp,baseVis,nanoVis,Ypredicted
1,43,1.400256,30,0.79735,0.893097,0.86306477
1,43,0,25,0.89008,0.893097,0.8694286
1,43,2.900256,40,0.65298,0.893097,0.8480854
3,12,0.45,29.95343,0.784672,0.894161,0.863305
1,32,0,25,0.89008,0.894545,0.89763165
2,21,0.2,27.14834,0.847154,0.895935,0.8396862
1,30,0.2,27,0.85099,0.899083,0.8732616
1,100,4,40,0.65298,0.899255,0.93269426
4,33,0.155709343,25,0.89008,0.9,0.8928866
1,43,0.126598,25,0.89008,0.900531,0.8816493
1,30,0.1,26,0.87018,0.900917,0.88571477
4,11,1.149069767,50,0.54685,0.901618,0.79037356
1,30,0.03,25,0.89008,0.901835,0.9033194
1,47,7,60.02959,0.466192,0.902058,0.9305575
1,47,4,45.22189,0.59374,0.902058,0.8751014
1,30,0.3,28,0.83248,0.905505,0.8640404
1,43,0.268542,25,0.89008,0.907965,0.89511544
1,30,0.2,26,0.87018,0.909174,0.89669627
1,47,7,61.00592,0.4594,0.909777,0.91661024
1,25,2,35.09937,0.717905,0.910179,1.1123852
4,33,1.698269896,30,0.79735,0.913462,0.8936258
1,36,1,28.95028,0.815481,0.914309,0.9035747
1,30,0.3,27,0.85099,0.915596,0.8844518
4,33,0.276124567,25,0.89008,0.917308,0.9018636
1,30,1.5,50.02604,0.546613,0.917528,0.757486
1,30,0.1,25,0.89008,0.920183,0.91104317
2,76,2.54,30,0.79735,0.92062,0.9891537
1,30,0.03,24,0.91073,0.921101,0.9289281
1,43,0.548593,25,0.89008,0.922832,0.9223033
2,21,1,33.70844,0.737398,0.92439,0.83922404
1,47,7,58.13116,0.479885,0.925214,0.9588756
1,32,0.55082,30,0.79735,0.927273,0.85111445
4,11,0.560930233,30,0.79735,0.927508,0.8829083
4,11,0.156976744,25,0.89008,0.927508,0.9179852
1,30,0.2,25,0.89008,0.929358,0.9220654
1,30,0.1,24,0.91073,0.930275,0.93665195
4,33,0.398615917,25,0.89008,0.932692,0.9109703
1,30,0.5,29.93056,0.798538,0.932907,0.852303
4,29,4.5,54.0138586,0.511987,0.933388,0.95447755
1,30,0.3,26,0.87018,0.934862,0.90777487
1,36,4.5,40.99448,0.640966,0.936513,0.97376484
2,21,0.6,25,0.89008,0.937316,0.9326074
2,27,2.04,32.15405,0.762138,0.938431,0.8972284
1,30,0.03,23,0.93216,0.941284,0.9551276
4,11,0.81,35,0.71932,0.943689,0.90605867
1,100,6,45,0.59607,0.944707,0.9995323
1,30,0.3,25,0.89008,0.944954,0.93308306
2,27,3.16,36.71214,0.695423,0.945138,0.97911465
1,100,2,30,0.79735,0.946728,0.94355947
4,29,1,27.23732118,0.846557,0.948118,0.9094517
4,29,4.5,52.50729958,0.524628,0.948118,0.9870216
1,47,1,24.99014,0.890282,0.94837,0.92119074
1,30,0.2,24,0.91073,0.948624,0.9476859
4,11,0.399767442,25,0.89008,0.950162,0.9526654
1,30,0.1,23,0.93216,0.950459,0.9628513
1,36,4.5,38.72928,0.668879,0.951316,1.0215158
1,43,1.998721,30,0.79735,0.952566,0.90975624
1,32,0.131148,25,0.89008,0.952727,0.9121936
4,33,0.560553633,25,0.89008,0.953846,0.9230096
1,13,1.3,42,0.62919,0.95597,0.89849687
1,43,0.978261,25,0.89008,0.957522,0.95427597
1,30,0.03,22,0.95442,0.96055,0.98326075
4,33,0.81384083,25,0.89008,0.963462,0.9419266
1,47,4,42.23866,0.626455,0.963808,0.9399321
1,30,0.3,24,0.91073,0.965138,0.9587198
1,32,2,40,0.65298,0.967273,0.9568648
1,30,0.2,23,0.93216,0.968807,0.97388524
2,21,2,42.68542,0.623577,0.969106,0.9267002
1,30,0.1,22,0.95442,0.969725,0.99033374
1,32,1.4,35,0.71932,0.970909,0.964369
1,32,2.898361,50,0.54685,0.970909,0.8568061
1,25,3,35.05855,0.718486,0.971827,1.1599396
1,13,2.7,72,0.39307,0.972235,0.9129355
1,30,0.3,23,0.93216,0.974312,0.98390347
2,21,1,25,0.89008,0.97501,0.97446465
1,13,1.34,42,0.62919,0.975156,0.91562873
4,29,4.5,50.5146999,0.542158,0.977578,1.0330513
1,32,0.268852,25,0.89008,0.978182,0.92797595
1,30,0.03,21,0.97755,0.980734,1.0090506
2,21,0.2,22.71739,0.936585,0.981301,0.91839635
4,33,1.158477509,25,0.89008,0.982692,0.9633982
1,43,2.900256,35,0.71932,0.984779,0.9350409
3,12,0.45,24.98254,0.875912,0.985401,0.92348194
1,13,2.78,72,0.39307,0.987109,0.9389989
1,30,0.2,22,0.95442,0.988073,1.0004351
1,36,1,25.41436,0.88176,0.988322,0.9785947
1,30,0.1,21,0.97755,0.988991,1.0143602
1,32,0.980328,30,0.79735,0.989091,0.9150528
2,95,0.246748682,22,0.95442,0.992072,0.99666065
4,29,1,25.05025752,0.889071,0.992308,0.96421254
1,30,0.3,22,0.95442,0.994495,1.008803
1,47,7,55.03945,0.503666,0.994683,1.0152812
1,43,1.396419,25,0.89008,0.99469,0.9800903
1,28,1.00407,24,0.91073,0.995122,1.0520593
1,30,0.2,21,0.97755,0.997248,1.0218177
1,100,4,35,0.71932,0.998378,1.0323006
2,21,1.5,25,0.89008,0.99847,1.0770591
1,43,1,25,0.89008,0.999628,0.9558777
2,27,0.99,24.85258,0.893096,1.000487,0.9225627
4,33,0,20,1.0016,1.001923,0.98072207
4,11,0,20,1.0016,1.001942,1.0188808
1,43,0,20,1.0016,1.002124,0.9781665
1,47,7,53.73767,0.514272,1.002401,1.0400279
1,47,1,23.09172,0.930177,1.002401,0.96202064
1,32,0,20,1.0016,1.003636,1.0254505
1,30,0.3,21,0.97755,1.00367,1.0292751
2,95,0.596836555,22,0.95442,1.005477,1.0241058
1,36,2.119488,25,0.89008,1.009925,1.1746693
4,33,0.157785467,20,1.0016,1.011538,0.9915502
4,11,1.153255814,40,0.65298,1.01165,0.9526184
1,43,0.126598,20,1.0016,1.012035,0.9919773
